序号,简体字,繁体字,拼音,六书类别,部首,笔画数,本义(原始),复核结论(人工填写)
1,匕,匕,bǐ,会意,匕,2,相與比敘也,
2,刁,刁,diāo,会意,刀,2,古者軍有刁斗（出《康熙字典》）,
3,几,幾,jī/jǐ,会意,几,2,微也。殆也,
4,乃,乃,nǎi,会意,丿,2,曳詞之難也。象气之出難,
5,乂,乂,yì,会意,丿,2,芟艸也,
6,彳,彳,chì,会意,彳,3,小步也。象人脛三屬相連也,
7,亍,亍,chù,会意,二,3,步止也,
8,凡,凡,fán,会意,几,3,最括也,
9,干,幹,gān/gàn,会意,干,3,犯也,
10,久,久,jiǔ,会意,丿,3,以後灸之，象人兩脛後有距也。《周禮》曰：“久諸牆以觀其橈。”,
11,及,及,jí,会意,又,3,逮也,
12,巾,巾,jīn,会意,巾,3,佩巾也,
13,乞,乞,qǐ,会意,乙,3,求取、乞求,
14,丸,丸,wán,会意,丶,3,圜，傾側而轉者,
15,亡,亾,wáng,会意,亠,3,逃也,
16,卫,衛,wèi,会意,卩,3,守卫、保护,
17,兀,兀,wù,会意,儿,3,高而上平也,
18,乡,鄉,xiāng,会意,幺,3,乡村、家乡,
19,习,習,xí,会意,乙,3,數飛也,
20,弋,弋,yì,会意,弋,3,橜也。象折木衺銳著形,
21,义,義,yí,会意,丶,3,己之威儀也。從我、羊,
22,亏,虧,yú,会意,二,3,於也。象气之舒亏,
23,与,與,yǔ/yù,会意,一,3,黨與也,
24,丈,丈,zhàng,会意,一,3,十尺也,
25,比,比,bǐ,会意,比,4,密也,
26,尺,尺,chǐ,会意,尸,4,十寸也。人手卻十分動脈爲寸口。十寸爲尺。尺，所以指尺䂓榘事也,
27,从,從,cóng,会意,人,4,两人相随,
28,分,分,fēn,会意,刀,4,以刀分割,
29,反,反,fǎn,会意,又,4,手攀崖（攀的本字），引申为翻转,
30,夬,夬,guài,会意,大,4,分決也,
31,丐,匃,gài,会意,一,4,气也。逯安說：亡人爲匄,
32,公,公,gōng,会意,八,4,背私为公,
33,幻,幻,huàn,会意,幺,4,相詐惑也,
34,见,見,jiàn,会意,見,4,人睁大眼睛看，上目下人,
35,介,介,jiè,会意,人,4,畫也,
36,计,計,jì,会意,言,4,會也,
37,巨,巨,jù,会意,匚,4,規巨也,
38,今,今,jīn,会意,人,4,口含物（含的本字），引申为现在,
39,开,開,kāi,会意,廾,4,两扇门打开,
40,孔,孔,kǒng,会意,子,4,通也,
41,仑,侖,lún,会意,人,4,思也,
42,内,內,nèi,会意,冂,4,从外面进入里面（纳的本字）,
43,区,區,qū,会意,匚,4,踦區，藏匿也,
44,仁,仁,rén,会意,人,4,親也,
45,冗,冗,rǒng,会意,冖,4,多余、闲散,
46,双,雙,shuāng,会意,又,4,隹二枚也,
47,什,什,shén/shí,会意,人,4,相什保也,
48,勿,勿,wù,会意,勹,4,州里所建旗。象其柄，有三游。雜帛，幅半異。所以趣民，故遽，稱勿勿,
49,毋,毋,wú,会意,毋,4,止之也,
50,午,午,wǔ,会意,十,4,啎也。五月，陰气午逆陽。冒地而出。此予矢同意,
51,凶,兇,xiōng,会意,凵,4,惡也。象地穿交陷其中也,
52,兮,兮,xī,会意,八,4,語所稽也,
53,元,元,yuán,会意,儿,4,始也,
54,爻,爻,yáo,会意,爻,4,交也。象《易》六爻頭交也,
55,艺,𡎐,yì,会意,艸,4,種也,
56,刈,乂,yì,会意,刀,4,芟艸也,
57,匀,勻,yún,会意,勹,4,少也,
58,卬,𠨐,yǎng,会意,卩,4,望，欲有所庶及也,
59,引,引,yǐn,会意,弓,4,開弓也,
60,尹,尹,yǐn,会意,尸,4,治也,
61,友,友,yǒu,会意,又,4,同𢖽爲友,
62,支,支,zhī,会意,支,4,去竹之枝也,
63,屯,屯,zhūn,会意,屮,4,難也。象艸木之初生。屯然而難,
64,止,止,zhǐ,会意,止,4,下基也。象艸木出有址，故以止爲足,
65,仄,仄,zè,会意,人,4,側傾也,
66,半,半,bàn,会意,十,5,牛中分,
67,北,北,běi,会意,匕,5,两人相背（背的本字），引申为北方,
68,丙,丙,bǐng,会意,一,5,位南方，萬物成，炳然。陰气初起，陽气將虧,
69,出,出,chū,会意,凵,5,進也,
70,处,處,chǔ/chù,会意,夂,5,人靠几案止息,
71,戋,戔,cán,会意,戈,5,賊也,
72,匆,匆,cōng,会意,勹,5,急促、匆忙,
73,对,對,duì,会意,寸,5,手持烛火照明,
74,东,東,dōng,会意,一,5,日升木中，表示东方,
75,氐,氐,dǐ,会意,氏,5,至也,
76,氾,氾,fàn,会意,水,5,濫也,
77,付,付,fù,会意,人,5,與也,
78,弗,弗,fú,会意,弓,5,撟也,
79,归,歸,guī,会意,彐,5,女子出嫁（回到夫家）,
80,古,古,gǔ,会意,口,5,口中说出十代相传之事,
81,卉,卉,huì,会意,十,5,艸之緫名也,
82,夯,夯,hāng,会意,大,5,近壑上聲（出《康熙字典》）,
83,加,加,jiā,会意,力,5,言语夸大,
84,纠,糾,jiū,会意,糸,5,繩三合也,
85,甲,甲,jiǎ,会意,田,5,東方之孟，陽气萌動,
86,卟,卟,jī,会意,卜,5,卜以問疑也,
87,且,且,jū,会意,一,5,薦也,
88,另,另,lìng,会意,口,5,分居也，割開也（出《康熙字典》）,
89,令,令,lìng/líng,会意,人,5,發號也,
90,奴,奴,nú,会意,女,5,奴、婢，皆古之辠人也。《周禮》曰：“其奴，男子入于辠隸，女子入于舂藁。”,
91,平,平,píng,会意,干,5,口气平直舒展，表示平正,
92,叵,叵,pǒ,会意,口,5,不可也,
93,囚,囚,qiú,会意,囗,5,繫也,
94,阡,阡,qiān,会意,阜,5,路東西爲陌，南北爲阡,
95,仝,仝,quán,会意,人,5,完也,
96,帅,帥,shuài,会意,巾,5,佩巾也,
97,甩,甩,shuǎi,会意,用,5,挥动、抛开,
98,市,市,shì,会意,巾,5,買賣所之也,
99,仕,仕,shì,会意,人,5,學也,
100,申,申,shēn,会意,田,5,神也。七月，陰气成，體自申束,
101,生,生,shēng,会意,生,5,草木从土中长出，屮(草)下一横为土,
102,闪,閃,shǎn,会意,門,5,闚頭門中也,
103,史,史,shǐ,会意,口,5,記事者也,
104,司,司,sī,会意,口,5,臣司事於外者,
105,台,臺,tái/tāi,会意,口,5,觀，四方而高者,
106,讨,討,tǎo,会意,言,5,治也,
107,外,外,wài,会意,夕,5,遠也,
108,未,未,wèi,会意,木,5,味也。六月，滋味也。五行，木老於未。象木重枝葉也,
109,戊,戊,wù,会意,戈,5,中宮也。象六甲五龍相拘絞也。戊承丁，象人脅,
110,兄,兄,xiōng,会意,儿,5,人张口祷告，兄长为家族祭祀者,
111,玄,玄,xuán,会意,玄,5,幽遠也。黑而有赤色者爲玄。象幽而入覆之也,
112,业,業,yè,会意,一,5,大版也。所以飾縣鍾鼓。捷業如鋸齒，以白畫之。象其鉏鋙相承也,
113,印,印,yìn,会意,卩,5,執政所持信也,
114,右,右,yòu,会意,口,5,右手加口表示帮助（佑），右手常用以进食,
115,幼,幼,yòu,会意,幺,5,少也,
116,驭,御,yù,会意,彳,5,使馬也,
117,孕,孕,yùn,会意,子,5,褢子也,
118,央,央,yāng,会意,大,5,中央也,
119,永,永,yǒng,会意,水,5,長也。象水坙理之長。《詩》曰：“江之永矣。”,
120,乍,乍,zhà,会意,丿,5,止也，一曰亡也,
121,正,正,zhèng/zhēng,会意,止,5,是也,
122,占,佔,zhān,会意,卜,5,視兆問也,
123,卮,卮,zhī,会意,卩,5,圜器也。一名觛。所以節飲食。象人，卪在其下也。《易》曰：“君子節飲食。”,
124,左,左,zuǒ,会意,工,5,左手，以左手辅助工作,
125,闭,閉,bì,会意,門,6,门关上,
126,冰,冰,bīng,会意,冫,6,水凝结为冰,
127,阪,阪,bǎn,会意,阜,6,坡者曰阪。一曰澤障。一曰山脅也,
128,创,刅,chuàng/chuāng,会意,刀,6,傷也,
129,舛,舛,chuǎn,会意,舛,6,對臥也,
130,闯,闖,chèn,会意,門,6,馬出門皃,
131,尘,塵,chén,会意,小,6,鹿奔跑扬起的细土,
132,丞,丞,chéng,会意,一,6,翊也,
133,弛,弛,chí,会意,弓,6,弓解也,
134,冲,沖,chōng/chòng,会意,冫,6,涌搖也,
135,此,此,cǐ,会意,止,6,人站立此地（止+人）,
136,吊,吊,diào,会意,口,6,字俗弔（出《康熙字典》）,
137,丢,丟,diū,会意,一,6,（后起字，无古本义）,
138,夺,奪,duó,会意,大,6,手持隹失之也,
139,多,多,duō,会意,夕,6,两块肉（夕即肉），肉多则丰盛，会意数量大,
140,伐,伐,fá,会意,人,6,擊也,
141,负,負,fù,会意,貝,6,恃也,
142,妇,婦,fù,会意,女,6,女子持扫帚，表示已婚妇女,
143,伏,伏,fú,会意,人,6,司也,
144,凫,鳧,fú,会意,鳥,6,舒鳧，鶩也,
145,光,光,guāng,会意,儿,6,人头上火光，表示光亮,
146,圭,圭,guī,会意,土,6,瑞玉也。上圜下方。公執桓圭，九寸；矦執信圭，伯執躬圭，皆七寸；子執穀璧，男執蒲璧,
147,各,各,gè,会意,口,6,脚到达门口（来至）,
148,艮,艮,gèn,会意,艮,6,很也,
149,共,共,gòng,会意,八,6,双手捧物（供的本字）,
150,划,畫,huá/huà,会意,刀,6,界也。象田四界。聿，所以畫之,
151,华,華,huá/huà,会意,十,6,榮也,
152,会,會,huì/kuài,会意,人,6,聚合,
153,灰,灰,huī,会意,火,6,死火餘㶳也,
154,合,合,hé,会意,口,6,合口也,
155,后,後,hòu,会意,口,6,后来居后,
156,好,好,hǎo/hào,会意,女,6,女子怀抱婴儿，表示美好、亲善,
157,件,件,jiàn,会意,人,6,分也,
158,匠,匠,jiàng,会意,匚,6,木工也,
159,夹,夾,jiā/jiá/gā,会意,大,6,持也,
160,尖,尖,jiān,会意,小,6,小細也（出《玉篇》）,
161,决,決,jué,会意,冫,6,水冲破堤防,
162,吉,吉,jí,会意,口,6,善也,
163,汲,汲,jí,会意,水,6,引水於井也,
164,乩,卟,jī,会意,乙,6,卜以問疑也,
165,军,軍,jūn,会意,冖,6,圜圍也（围圈驻扎，四千人一军）,
166,阱,阱,jǐng,会意,阜,6,陷也,
167,匡,匡,kuāng,会意,匚,6,飲器，筥也,
168,耒,耒,lěi,会意,耒,6,手耕曲木也,
169,名,名,míng,会意,口,6,天黑自报姓名,
170,牟,牟,móu,会意,牛,6,牛鳴也,
171,买,買,mǎi,会意,十,6,网+贝，用贝（钱）获取物品,
172,讷,訥,nè,会意,言,6,言難也,
173,农,農,nóng,会意,冖,6,同䢉（出《玉篇》）,
174,乓,乓,pāng,会意,丿,6,乒乓（后起字，无古本义）,
175,乒,乒,pīng,会意,丿,6,乒乓球（后起字，无古本义）,
176,伣,俔,qiàn,会意,人,6,譬諭也。一曰間見,
177,乔,喬,qiáo,会意,丿,6,高而曲也,
178,全,全,quán,会意,入,6,完整齐备,
179,庆,慶,qìng,会意,广,6,行賀人也,
180,戎,戎,róng,会意,戈,6,《說文》作𢦦，兵也（出《玉篇》）,
181,如,如,rú,会意,女,6,从隨也,
182,设,設,shè,会意,言,6,施陳也,
183,戍,戍,shù,会意,戈,6,守邊也,
184,屾,屾,shēn,会意,山,6,二山也,
185,师,師,shī,会意,巾,6,二千五百人爲師,
186,守,守,shǒu,会意,宀,6,守官也,
187,色,色,sè/shǎi,会意,色,6,顔气也,
188,夙,𡖊,sù,会意,夕,6,早敬也,
189,孙,孫,sūn,会意,子,6,子之子，表示孙子辈,
190,扫,埽,sǎo/sào,会意,手,6,棄也,
191,死,死,sǐ,会意,歹,6,人在朽骨旁，表示死亡,
192,危,危,wēi,会意,卩,6,在高而懼也,
193,伍,伍,wǔ,会意,人,6,相參伍也,
194,向,向,xiàng,会意,口,6,北出牖也,
195,协,協,xié,会意,十,6,眾之同和也,
196,页,頁,xié,会意,頁,6,頭也,
197,先,先,xiān,会意,儿,6,前進也,
198,休,休,xiū,会意,人,6,人靠在树旁休息,
199,亘,亘,xuān,会意,二,6,求亘也,
200,旬,旬,xún,会意,日,6,徧也。十日爲旬,
201,寻,尋,xún,会意,寸,6,繹也（出《玉篇》）,
202,兴,興,xīng/xìng,会意,八,6,起也,
203,戌,戌,xū,会意,戈,6,滅也。九月，陽气微，萬物畢成，陽下入地也。五行，土生於戊，盛於戌,
204,阮,阮,yuán,会意,阜,6,代郡五阮關也,
205,尧,堯,yáo,会意,尢,6,高也,
206,夷,夷,yí,会意,大,6,平也,
207,聿,聿,yù,会意,聿,6,所以書也。楚謂之聿，吳謂之不律，燕謂之弗,
208,伊,伊,yī,会意,人,6,殷聖人阿衡，尹治天下者,
209,因,因,yīn,会意,囗,6,就也,
210,仰,仰,yǎng,会意,人,6,舉也,
211,众,眾,zhòng,会意,人,6,多也,
212,纣,紂,zhòu,会意,糸,6,馬緧也,
213,伫,佇,zhù,会意,人,6,久立也,
214,争,爭,zhēng,会意,爪,6,引也,
215,芝,芝,zhī,会意,艸,6,神艸也,
216,朱,朱,zhū,会意,木,6,赤心木。松柏屬,
217,再,再,zài,会意,冂,6,一舉而二也,
218,则,則,zé,会意,刀,6,等畫物也,
219,早,早,zǎo,会意,日,6,晨也,
220,安,安,ān,会意,宀,6,女子在屋中，平安安宁,
221,别,別,bié,会意,刀,7,以刀分骨,
222,杓,杓,biāo,会意,木,7,枓柄也,
223,报,報,bào,会意,手,7,當罪人也,
224,孛,孛,bèi,会意,子,7,𢍚也,
225,步,步,bù,会意,止,7,两脚一前一后，行走,
226,陂,陂,bēi/pí,会意,阜,7,阪也。一曰沱也,
227,兵,兵,bīng,会意,八,7,械也,
228,坂,阪,bǎn,会意,土,7,坡者曰阪。一曰澤障。一曰山脅也,
229,吹,吹,chuī,会意,口,7,人张口出气,
230,岔,岔,chà,会意,山,7,三分路也，與汊同（出《康熙字典》）,
231,彻,徹,chè,会意,彳,7,通也,
232,赤,赤,chì,会意,赤,7,大火，大火之色为赤,
233,饬,飭,chì,会意,食,7,致堅也,
234,初,初,chū,会意,衣,7,用刀裁衣之始,
235,词,詞,cí,会意,言,7,意内而言外也,
236,甸,甸,diàn,会意,田,7,天子五百里地,
237,狄,狄,dí,会意,犬,7,赤狄，本犬種。狄之爲言淫辟也,
238,呆,呆,dāi,会意,口,7,古文某字（出《康熙字典》）,
239,吠,吠,fèi,会意,口,7,犬鳴也,
240,孚,孚,fú,会意,子,7,卵孚也,
241,告,告,gào,会意,口,7,牛叫（或牛在口前祭祀）,
242,改,改,gǎi,会意,攴,7,变更,
243,谷,谷,gǔ,会意,谷,7,两山之间的流水道,
244,奂,奐,huàn,会意,大,7,取奐也。一曰大也,
245,戒,戒,jiè,会意,戈,7,警也,
246,劫,劫,jié,会意,力,7,人欲去，以力脅止曰劫。或曰以力止去曰劫,
247,坚,堅,jiān,会意,土,7,剛也,
248,间,間,jiān/jiàn,会意,門,7,门中见月（缝隙）,
249,即,即,jí,会意,卩,7,卽今作即（出《康熙字典》）,
250,局,局,jú,会意,尸,7,局限,
251,君,君,jūn,会意,口,7,尹（治理）+口，发号施令者,
252,库,庫,kù,会意,广,7,兵車藏也,
253,困,困,kùn,会意,囗,7,木在口中，被围困,
254,连,連,lián,会意,辵,7,车相连接,
255,乱,亂,luàn,会意,舌,7,治也,
256,岚,嵐,lán,会意,山,7,山名,
257,劳,勞,láo,会意,艸,7,劇也,
258,牢,牢,láo,会意,宀,7,閑，養牛馬圈也,
259,泐,泐,lè,会意,水,7,水石之理也,
260,利,利,lì,会意,刀,7,銛也,
261,免,免,miǎn,会意,儿,7,去也（出《玉篇》）,
262,麦,麥,mài,会意,麥,7,芒穀，秋穜厚薶，故謂之麥。麥，金也。金王而生，火王而死,
263,尨,尨,máng,会意,尢,7,犬之多毛者,
264,没,沒,méi/mò,会意,水,7,沈也,
265,汨,汨,mì,会意,水,7,長沙汨羅淵，屈原所沈之水,
266,芈,羋,mǐ,会意,羊,7,羊鳴也,
267,尿,尿,niào,会意,尸,7,人小便也,
268,男,男,nán,会意,田,7,田+力，在田中用力者为男,
269,佞,佞,nìng,会意,人,7,巧讇高材也,
270,弄,弄,nòng/lòng,会意,廾,7,玩也,
271,扳,𠬜,pān,会意,手,7,引也,
272,佥,僉,qiān,会意,人,7,皆也,
273,羌,羌,qiāng,会意,羊,7,西戎牧羊人也,
274,弃,棄,qì,会意,廾,7,捐也,
275,汭,汭,ruì,会意,水,7,水相入也,
276,妊,妊,rèn,会意,女,7,孕也,
277,闰,閏,rùn,会意,門,7,餘分之月，五歲再閏，告朔之禮，天子居宗廟，閏月居門中,
278,社,社,shè,会意,示,7,地主也,
279,束,束,shù,会意,木,7,縛也,
280,沙,沙,shā,会意,水,7,水旁细碎的石粒,
281,删,刪,shān,会意,刀,7,剟也,
282,芟,芟,shān,会意,艸,7,刈艸也,
283,豕,豕,shǐ,会意,豕,7,彘也。竭其尾，故謂之豕。象毛足而後有尾。讀與豨同。(桉：今丗字，誤以豕爲彘，以彘,
284,宋,宋,sòng,会意,宀,7,居也,
285,妥,妥,tuǒ,会意,女,7,女字（出《玉篇》）,
286,彤,彤,tóng,会意,彡,7,丹飾也,
287,投,投,tóu,会意,手,7,擿也,
288,位,位,wèi,会意,人,7,列中庭之左右謂之位,
289,𫘜,馼,wén,会意,馬,7,馬赤鬣縞身，目若黃金，名曰𩢌。吉皇之乘，周文王時，犬戎獻之,
290,吴,吳,wú,会意,口,7,姓也。亦郡也。一曰吳，大言也,
291,尾,尾,wěi/yǐ,会意,尸,7,尾巴,
292,孝,孝,xiào,会意,子,7,善事父母者,
293,闲,閑,xián,会意,門,7,闌也,
294,伭,伭,xián,会意,人,7,很也,
295,秀,秀,xiù,会意,禾,7,上諱。漢光武帝名也,
296,县,縣,xuán,会意,厶,7,繫也,
297,忾,愾,xì,会意,心,7,大息也,
298,陉,陘,xíng,会意,阜,7,山絕坎也,
299,希,希,xī,会意,巾,7,摩也（出《玉篇》）,
300,辛,辛,xīn,会意,辛,7,秋時萬物成而孰；金剛，味辛，辛痛即泣出,
301,言,言,yán,会意,言,7,说话，口上舌出气,
302,阽,阽,yán,会意,阜,7,壁危也,
303,抑,抑,yì,会意,手,7,美也（出《玉篇》）,
304,医,醫,yì,会意,匚,7,盛弓弩矢器也,
305,邑,邑,yì,会意,邑,7,國也,
306,役,役,yì,会意,彳,7,戍邊也,
307,呓,寱,yì,会意,宀,7,瞑言也,
308,邮,郵,yóu,会意,阜,7,境上行書舍,
309,钋,钋,yīng,会意,金,7,胷也,
310,攸,攸,yōu,会意,攴,7,行水也,
311,甬,甬,yǒng,会意,用,7,艸木華甬甬然也,
312,诏,詔,zhào,会意,言,7,告也,
313,折,㪿,zhé/shé,会意,手,7,斷也,
314,豸,豸,zhì,会意,豸,7,獸長𦟝，行豸豸然，欲有所司殺形。(司殺讀若伺候之伺。),
315,钊,釗,zhāo,会意,金,7,刓也,
316,找,找,zhǎo,会意,手,7,與划同（出《康熙字典》）,
317,肘,肘,zhǒu,会意,月,7,臂節也,
318,坐,坐,zuò,会意,土,7,止也,
319,阼,阼,zuò,会意,阜,7,主階也,
320,作,作,zuò/zuō,会意,人,7,起也,
321,皂,皁,zào,会意,白,7,俗皁字（出《康熙字典》）,
322,足,足,zú,会意,足,7,脚，上为小腿下为脚掌,
323,走,走,zǒu,会意,走,7,跑，上为摆动双臂的人下为脚,
324,毐,毐,ǎi,会意,毋,7,人無行也,
325,变,變,biàn,会意,又,8,更易,
326,贬,貶,biǎn,会意,貝,8,損也,
327,表,表,biǎo,会意,衣,8,上衣也,
328,败,敗,bài,会意,攴,8,毀也,
329,卑,卑,bēi,会意,十,8,賤也。執事也,
330,佰,佰,bǎi,会意,人,8,相什伯也,
331,秉,秉,bǐng,会意,禾,8,禾束也,
